Dest_ID,Dest_Region,Dest_TrueSec,Dest,Entry,Entry_ID,Entry_Region,Entry_Sec
30004626,Fountain,-0.11,D4KU-5,Hophib,30004309,Aridia,Low
30004738,Delve,-0.103,1-SMEB,Sakht,30004299,Aridia,Low
30004055,Cloud Ring,-0.02,W-4NUU,Okagaiken,30045307,Black Rise,Low
30000943,Great Wildlands,-0.303,7Q-8Z2,Khabi,30000117,Derelik,Low
30001047,Curse,-0.014,Doril,Sendaya,30000015,Derelik,Low
30004019,Querious,-0.284,3-FKCZ,Efa,30003892,Khanid,Low
30001990,Pure Blind,-0.175,93PI-4,Saranen,30001442,Lonetrek,Low
30002478,Geminate,-0.031,AD-5B8,Eurgrana,30003466,Metropolis,Low
30000999,Great Wildlands,-0.027,N-RAEL,Konora,30003471,Metropolis,Low
30000970,Great Wildlands,-0.002,B-VIP9,Egbinger,30002420,Molden Heath,Low
30002376,Etherium Reach,-0.1,L4X-1V,Skarkon,30002411,Molden Heath,Low
30004046,Cloud Ring,-0.012,F7C-H0,Alsavoinon,30003841,Placid,Low
30003268,Syndicate,-0.035,MHC-R3,Harroule,30003793,Placid,Low
30001161,Catch,-0.146, HED-GP,Keberz,30003883,Khanid,High
30003769,Providence,-0.034,R3-K7K,Misaba,30003563,Domain,Low
30002355,Etherium Reach,-0.077,LXQ2-T,Paala,30000198,The Forge,Low
30002475,Geminate,-0.071,EOA-ZC,Akkio,30000200,The Forge,Low
30002440,Geminate,-0.575,BWF-ZZ,Oijanen,30000186,The Forge,Low
30003942,Querious,-0.385,A2-V27,Kaira,30003887,Khanid,Low
30003729,Providence,-0.259,KBP7-G,Dital,30002968,Devoid,High
30003726,Providence,-0.094, Y-MPWL,Kari,30001742,Tash-Murkon,High
30001984,Pure Blind,-0.447,EC-P8R,Torrinos,30001429,Lonetrek,High
30002039,Pure Blind,-0.029,RQH-MY,Mantenault,30003855,Placid,Low
30003703,Providence,-0.205,G-5EN2,Assah,30000075,Derelik,Low
30003323,Syndicate,-0.013,TXW-EI,Vestouve,30003820,Placid,Low
30003277,Syndicate,-0.352,PF-346,Orvolle,30003830,Placid,High
30003307,Syndicate,-0.377,Y9G-KS,Conomette,30003565,Solitude,Low
30003345,Syndicate,-0.024,D85-VD,Faurulle,30003599,Solitude,Low
30003307,Syndicate,-0.377,Y9G-KS,Pertnineere,30003573,Solitude,Low
30003280,Syndicate,-0.157,6-CZ49,Reblier,30005328,Verge Vendor,Low
30000848,Tribute,-0.218,M-OEE8,Taisy,30001447,Lonetrek,Low
30000250,Vale of the Silent,-0.275,P3EN-E,Obe,30000205,The Forge,Low
